,date,start,visitor,vscore,home,hscore,OT,attendance
1,Tue Oct 16 2018,8:00p,Philadelphia 76ers,87,Boston Celtics,105,,18624
2,Tue Oct 16 2018,10:30p,Oklahoma City Thunder,100,Golden State Warriors,108,,19596
3,Wed Oct 17 2018,7:00p,Milwaukee Bucks,113,Charlotte Hornets,112,,17889
4,Wed Oct 17 2018,7:00p,Brooklyn Nets,100,Detroit Pistons,103,,20332
5,Wed Oct 17 2018,7:00p,Memphis Grizzlies,83,Indiana Pacers,111,,17923
6,Wed Oct 17 2018,7:00p,Miami Heat,101,Orlando Magic,104,,19191
7,Wed Oct 17 2018,7:30p,Atlanta Hawks,107,New York Knicks,126,,18249
8,Wed Oct 17 2018,7:30p,Cleveland Cavaliers,104,Toronto Raptors,116,,19915
9,Wed Oct 17 2018,8:00p,New Orleans Pelicans,131,Houston Rockets,112,,18055
10,Wed Oct 17 2018,8:30p,Minnesota Timberwolves,108,San Antonio Spurs,112,,18354
11,Wed Oct 17 2018,10:00p,Utah Jazz,123,Sacramento Kings,117,,17583
12,Wed Oct 17 2018,10:30p,Denver Nuggets,107,Los Angeles Clippers,98,,19068
13,Wed Oct 17 2018,10:30p,Dallas Mavericks,100,Phoenix Suns,121,,18055
14,Thu Oct 18 2018,8:00p,Chicago Bulls,108,Philadelphia 76ers,127,,20302
15,Thu Oct 18 2018,8:00p,Miami Heat,113,Washington Wizards,112,,20409
16,Thu Oct 18 2018,10:30p,Los Angeles Lakers,119,Portland Trail Blazers,128,,19996
17,Fri Oct 19 2018,7:00p,Charlotte Hornets,120,Orlando Magic,88,,17668
18,Fri Oct 19 2018,7:30p,New York Knicks,105,Brooklyn Nets,107,,17732
19,Fri Oct 19 2018,8:00p,Atlanta Hawks,117,Memphis Grizzlies,131,,17019
20,Fri Oct 19 2018,8:00p,Cleveland Cavaliers,123,Minnesota Timberwolves,131,,18978
21,Fri Oct 19 2018,8:00p,Sacramento Kings,129,New Orleans Pelicans,149,,18337
22,Fri Oct 19 2018,8:00p,Boston Celtics,101,Toronto Raptors,113,,19800
23,Fri Oct 19 2018,8:30p,Indiana Pacers,101,Milwaukee Bucks,118,,17341
24,Fri Oct 19 2018,10:30p,Oklahoma City Thunder,92,Los Angeles Clippers,108,,14816
25,Fri Oct 19 2018,10:30p,Golden State Warriors,124,Utah Jazz,123,,18306
26,Sat Oct 20 2018,7:00p,Brooklyn Nets,112,Indiana Pacers,132,,17007
27,Sat Oct 20 2018,7:00p,Toronto Raptors,117,Washington Wizards,113,,16185
28,Sat Oct 20 2018,7:30p,Boston Celtics,103,New York Knicks,101,,19427
29,Sat Oct 20 2018,7:30p,Orlando Magic,115,Philadelphia 76ers,116,,20300
30,Sat Oct 20 2018,8:00p,Detroit Pistons,118,Chicago Bulls,116,,21289
31,Sat Oct 20 2018,8:00p,Charlotte Hornets,113,Miami Heat,112,,19600
32,Sat Oct 20 2018,8:30p,Minnesota Timberwolves,136,Dallas Mavericks,140,,20205
33,Sat Oct 20 2018,9:00p,Phoenix Suns,91,Denver Nuggets,119,,19592
34,Sat Oct 20 2018,10:00p,San Antonio Spurs,108,Portland Trail Blazers,121,,19461
35,Sat Oct 20 2018,10:30p,Houston Rockets,124,Los Angeles Lakers,115,,18997
36,Sun Oct 21 2018,6:00p,Atlanta Hawks,133,Cleveland Cavaliers,111,,19432
37,Sun Oct 21 2018,7:00p,Sacramento Kings,131,Oklahoma City Thunder,120,,18203
38,Sun Oct 21 2018,8:00p,Golden State Warriors,98,Denver Nuggets,100,,19520
39,Sun Oct 21 2018,9:00p,Houston Rockets,112,Los Angeles Clippers,115,,16149
40,Mon Oct 22 2018,7:30p,Orlando Magic,93,Boston Celtics,90,,18624
41,Mon Oct 22 2018,7:30p,Charlotte Hornets,106,Toronto Raptors,127,,19800
42,Mon Oct 22 2018,8:00p,New York Knicks,113,Milwaukee Bucks,124,,16228
43,Mon Oct 22 2018,8:00p,Indiana Pacers,91,Minnesota Timberwolves,101,,10371
44,Mon Oct 22 2018,8:30p,Chicago Bulls,109,Dallas Mavericks,115,,19291
45,Mon Oct 22 2018,9:00p,Memphis Grizzlies,92,Utah Jazz,84,,18306
46,Mon Oct 22 2018,10:00p,Washington Wizards,125,Portland Trail Blazers,124,OT,19187
47,Mon Oct 22 2018,10:30p,Phoenix Suns,103,Golden State Warriors,123,,19596
48,Mon Oct 22 2018,10:30p,San Antonio Spurs,143,Los Angeles Lakers,142,OT,18997
49,Tue Oct 23 2018,7:00p,Philadelphia 76ers,132,Detroit Pistons,133,OT,14418
50,Tue Oct 23 2018,8:00p,Los Angeles Clippers,109,New Orleans Pelicans,116,,14625
51,Tue Oct 23 2018,9:00p,Sacramento Kings,112,Denver Nuggets,126,,13214
52,Wed Oct 24 2018,7:00p,Dallas Mavericks,104,Atlanta Hawks,111,,16705
53,Wed Oct 24 2018,7:00p,Brooklyn Nets,102,Cleveland Cavaliers,86,,19432
54,Wed Oct 24 2018,7:30p,New York Knicks,87,Miami Heat,110,,19600
55,Wed Oct 24 2018,7:30p,Minnesota Timberwolves,105,Toronto Raptors,112,,19800
56,Wed Oct 24 2018,8:00p,Charlotte Hornets,110,Chicago Bulls,112,,19170
57,Wed Oct 24 2018,8:00p,Utah Jazz,100,Houston Rockets,89,,18055
58,Wed Oct 24 2018,8:30p,Indiana Pacers,116,San Antonio Spurs,96,,18354
59,Wed Oct 24 2018,9:30p,Philadelphia 76ers,108,Milwaukee Bucks,123,,17341
60,Wed Oct 24 2018,10:00p,Los Angeles Lakers,131,Phoenix Suns,113,,18055
61,Wed Oct 24 2018,10:00p,Memphis Grizzlies,92,Sacramento Kings,97,,14198
62,Wed Oct 24 2018,10:30p,Washington Wizards,122,Golden State Warriors,144,,19596
63,Thu Oct 25 2018,7:00p,Cleveland Cavaliers,103,Detroit Pistons,110,,15896
64,Thu Oct 25 2018,7:00p,Portland Trail Blazers,128,Orlando Magic,114,,15114
65,Thu Oct 25 2018,8:00p,Boston Celtics,101,Oklahoma City Thunder,95,,18203
66,Thu Oct 25 2018,10:30p,Denver Nuggets,114,Los Angeles Lakers,121,,18997
67,Fri Oct 26 2018,7:00p,Chicago Bulls,106,Charlotte Hornets,135,,15220
68,Fri Oct 26 2018,7:30p,Golden State Warriors,128,New York Knicks,100,,19812
69,Fri Oct 26 2018,7:30p,Dallas Mavericks,107,Toronto Raptors,116,,19800
70,Fri Oct 26 2018,8:00p,Los Angeles Clippers,133,Houston Rockets,113,,18055
71,Fri Oct 26 2018,8:00p,Milwaukee Bucks,125,Minnesota Timberwolves,95,,16334
72,Fri Oct 26 2018,8:00p,Brooklyn Nets,115,New Orleans Pelicans,117,,15272
73,Fri Oct 26 2018,10:00p,Washington Wizards,112,Sacramento Kings,116,,14101
74,Sat Oct 27 2018,7:00p,Boston Celtics,109,Detroit Pistons,89,,18120
75,Sat Oct 27 2018,7:00p,Utah Jazz,132,New Orleans Pelicans,111,,16373
76,Sat Oct 27 2018,7:30p,Chicago Bulls,97,Atlanta Hawks,85,,15549
77,Sat Oct 27 2018,7:30p,Indiana Pacers,119,Cleveland Cavaliers,107,,19432
78,Sat Oct 27 2018,7:30p,Charlotte Hornets,103,Philadelphia 76ers,105,,20203
79,Sat Oct 27 2018,8:00p,Phoenix Suns,96,Memphis Grizzlies,117,,15926
80,Sat Oct 27 2018,8:00p,Portland Trail Blazers,111,Miami Heat,120,,19600
81,Sat Oct 27 2018,8:30p,Orlando Magic,91,Milwaukee Bucks,113,,17341
82,Sat Oct 27 2018,8:30p,Los Angeles Lakers,106,San Antonio Spurs,110,,18589
83,Sun Oct 28 2018,5:00p,Golden State Warriors,120,Brooklyn Nets,114,,17732
